-1,0,0
-1,0,-1
-1,0,0
-1,-1,-1
-1,-1,-1
0,-1,0
0,-1,-1
-1,0,0
-1,-1,-1
0,-1,0
0,-1,-1
-1,0,-1
-1,-1,-1
-1,-1,0
-1,0,0
0,-1,0
-1,0,-1
-1,0,-1
-1,-1,-1
0,0,-1
0,0,-1
0,-1,0
0,-1,0
0,0,0
0,-1,0
0,-1,0
0,0,0
0,-1,-1
0,-1,-1
0,0,0
-1,0,-1
0,0,0
0,-1,0
-1,0,-1
0,-1,0
-1,-1,-1
0,-1,0
0,-1,-1
-1,-1,0
0,-1,-1
-1,-1,-1
0,-1,-1
-1,0,-1
-1,-1,-1
0,0,-1
-1,-1,-1
0,-1,-1
0,-1,-1
0,0,-1
0,-1,0
-1,0,-1
0,-1,-1
-1,0,-1
0,-1,0
0,-1,0
-1,0,0
-1,0,-1
-1,0,-1
-1,0,-1
0,-1,0
0,-1,-1
-1,0,-1
0,-1,-1
-1,-1,-1
-1,-1,0
-1,0,0
-1,-1,-1
0,-1,-1
-1,-1,-1
0,0,-1
-1,0,0
0,-1,0
-1,-1,-1
0,-1,-1
-1,-1,-1
-1,0,0
0,-1,0
-1,-1,0
-1,-1,-1
0,-1,-1
0,0,-1
-1,0,-1
0,0,0
0,-1,0
0,0,-1
0,0,-1
0,0,-1
-1,-2,-1
0,-2,-1
1,0,1
0,0,1
0,-2,0
-1,-7,0
-2,5,-1
0,6,-2
-1,4,-2
0,-1,-4
11,-5,-12
14,-8,-25
13,-15,-49
10,-23,-67
11,-17,-82
6,-11,-95
4,-11,-98
-1,-9,-107
-6,5,-114
-8,16,-115
-12,16,-98
-13,16,-88
-16,19,-68
-16,19,-58
-13,15,-18
-9,10,16
-4,3,49
2,-1,76
9,-5,98
16,-8,121
16,-11,122
16,-12,120
7,-11,89
4,-10,79
1,0,49
0,2,45
3,11,18
5,11,13
14,14,-10
15,16,-12
19,21,-17
23,19,-17
33,10,-16
47,3,-12
50,1,-9
55,-2,-6
55,-3,-4
51,-4,-2
43,-5,0
6,-7,3
-10,-5,4
-18,-4,4
-26,-3,4
-31,-2,4
-122,1,4
-122,-1,3
-122,-2,3
-122,-3,3
-122,-4,3
-122,-11,3
-91,-4,2
-62,4,2
-14,12,-1
35,9,-2
51,5,-1
63,-1,0
73,-13,2
75,-28,4
75,-32,6
72,-34,7
56,-26,11
45,-22,12
25,-42,12
12,-68,13
-4,-98,13
-8,-101,13
-13,-99,13
-14,-95,13
-12,-44,9
-9,9,5
-9,61,-1
-10,75,-4
-12,97,-10
-14,99,-12
-10,84,-16
-4,58,-20
1,49,-21
1,40,-21
-1,49,-20
-1,57,-20
0,75,-19
7,94,-17
15,108,-16
21,105,-17
52,76,-22
93,-24,-29
92,-32,-27
91,-44,-26
88,-50,-25
83,-55,-24
64,-76,-16
7,-106,4
-18,-115,11
-39,-98,26
-47,-91,30
-63,-93,37
-68,-93,39
-99,-80,47
-113,-69,46
-121,-54,42
-121,-50,41
-119,-19,28
-107,-2,13
-100,5,3
-92,20,-10
-82,44,-33
-73,59,-49
-62,66,-58
-51,76,-67
20,121,-104
56,102,-119
61,92,-119
69,75,-119
75,61,-119
79,54,-118
80,49,-117
83,-30,-88
81,-45,-79
78,-62,-67
77,-66,-63
53,-73,-34
38,-81,-18
28,-85,-6
20,-96,-3
-15,-110,8
-49,-81,27
-58,-66,32
-82,-37,44
-87,-33,46
-105,-36,50
-106,-36,52
-98,-39,58
-96,-39,60
-78,-28,67
-69,-15,70
-56,9,67
-54,15,63
-54,22,58
-58,31,50
-61,40,34
-62,54,4
-61,56,-2
-50,66,-20
-38,73,-37
-13,74,-60
-4,73,-67
19,75,-90
25,71,-98
31,63,-103
37,52,-107
47,36,-108
53,-2,-104
56,-15,-102
61,-29,-99
67,-36,-92
61,-40,-79
50,-53,-66
44,-67,-62
39,-80,-58
25,-105,-51
-11,-122,-38
-44,-119,-25
-50,-114,-24
-64,-106,-19
-68,-104,-18
-85,-89,-14
-109,-54,-4
-121,-24,3
-121,-14,4
-120,1,4
-107,36,2
-68,56,-4
-61,55,-4
-54,56,-5
-47,58,-5
-42,61,-6
-31,66,-9
-16,59,-10
-4,39,-8
10,20,-4
20,3,0
44,-8,4
49,-3,4
55,4,6
62,9,6
79,15,-5
83,20,-11
93,29,-21
96,34,-27
96,40,-31
90,51,-45
38,32,-110
19,19,-122
8,11,-122
0,5,-122
-10,-4,-122
-15,-7,-122
-41,1,-122
-39,43,-122
-12,56,-65
0,43,20
21,17,122
29,4,122
31,-2,122
34,-20,122
13,-41,122
11,-42,122
9,-45,61
6,-44,17
-21,54,7
-24,91,4
-20,84,-13
-16,61,-24
3,-43,-46
-17,44,-22
-12,30,-46
-8,-21,-42
-16,-10,-32
-26,40,-28
-12,15,-4
-16,42,-8
-16,39,-22
-9,1,-38
-3,-15,-20
-11,39,-10
6,2,-19
9,-22,4
-9,-12,24
-1,-38,22
-2,-23,42
-22,20,32
7,-41,5
7,-28,11
-14,24,19
-11,-4,-1
12,-27,-4
12,4,16
0,8,13
30,-37,1
27,-25,6
11,1,13
-14,19,-2
1,-21,-26
-18,42,-5
-24,48,-3
-28,9,-11
-21,-7,-13
3,-17,-9
8,-4,-3
24,5,23
94,10,48
122,17,44
122,18,39
122,16,34
122,12,31
21,-47,7
-50,-38,13
-76,-32,14
-84,-32,15
-108,-34,17
-122,-35,17
-122,-27,15
-122,-12,-20
-101,-17,-18
-53,11,-12
-41,9,-17
3,-8,-34
17,6,-28
15,12,-23
18,9,-18
19,7,-16
15,-3,6
12,5,12
5,30,-8
6,30,-14
30,-22,-58
24,-10,-53
2,40,-43
-2,43,-44
10,6,-19
4,10,-5
7,-7,0
11,-19,1
21,-47,2
26,-46,5
16,1,7
8,-5,9
-12,-11,17
-14,-16,19
-11,-36,18
-6,-35,16
-1,1,10
-1,26,5
3,55,-4
0,45,-18
3,8,-27
6,-14,-20
4,-15,-15
1,-46,16
1,-60,21
0,-60,24
1,-51,25
1,1,25
5,53,10
5,52,3
-1,17,-20
1,-14,-19
-16,4,-9
-16,3,-10
-12,-7,-10
-9,-12,-11
-5,-20,-9
-9,-20,6
-16,-7,22
-7,10,21
-4,42,5
10,41,-21
13,32,-29
12,15,-35
4,-42,-26
0,-58,-12
-3,-25,8
-3,-15,10
11,26,12
8,-3,17
-3,-36,20
-6,-53,19
-8,8,16
-8,60,-7
-8,43,-23
-7,28,-26
-7,14,-28
-5,-31,-27
-2,-8,-2
2,8,5
2,10,9
1,7,11
